country,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Colombia,,,0.0224,0.0344,0.0853,0.155,0.302,0.747,1.45,2.76,4,4.73,5.84,7.33,8.55,9.76,10.7,11.6,12.3,12.9,13.4,13.8
Comoros,,,,,,,0.00017,0.00065,,0.0128,0.0167,0.0098,0.0477,0.0566,0.17,0.175,0.208,0.206,0.205,0.202,0.184,0.139
Cape Verde,,,,,,,0.062,0.202,0.387,0.807,1.53,2.25,3.26,4.28,3.93,4.14,3.68,3.16,2.93,2.79,2.88,3.47
Costa Rica,,,,,0.219,0.357,0.661,1.05,1.92,2.16,2.46,4.04,8.66,9.06,9.57,10.2,10.8,11.5,13,15,16.7,17.9
Cuba,,,,,,,,,,0.0173,0.02,0.0257,0.033,0.0393,0.0445,0.0475,0.0689,0.072,0.127,0.296,0.872,1.61
Cayman Islands,,,,,,,,,,,32.6,33.1,33.3,32.5,32.8,33.9,38.6,44.4,39.2,49.3,,
Cyprus,,,,0.354,0.824,1.39,2.33,4.28,8.32,12.6,18.5,21.5,23.2,24.6,25.5,26.7,28.8,30.7,32.6,34.2,36.3,37.8
Czech Republic,,,0.0243,0.0604,0.149,0.339,2.3,6.91,10.8,14.5,16.9,19.4,21.5,23.7,25.1,27,28.3,27.8,28.9,29.6,30.2,35
Germany,,,0.326,2.58,3.93,5.48,8.57,13.2,18.4,24.3,28,30.9,32.4,33.7,34.5,35.3,36.3,37.5,38.8,40.2,41.1,42
Djibouti,,,0.00056,0.00068,0.0008,,,0.00536,0.0191,0.136,0.3,0.638,0.959,1.32,1.72,2,2.24,2.64,2.61,2.58,2.66,2.51
Dominica,,,0.115,0.251,3.2,3.78,4.62,4.82,6.08,7.06,9.88,10.3,11.7,11.7,12,15,15.2,21.3,21.7,21.6,16.1,
Denmark,,,1.25,4.44,8.4,13.3,18.8,24.8,31.9,34.8,36.5,36.6,38,38.4,38.8,40.3,41.3,42.3,43.1,43.8,44.1,43.9
Dominican Republic,,,,,,0.169,0.415,0.667,1.12,1.86,2.53,3.3,4.03,4.32,4.87,5.24,5.9,6.67,7.32,7.81,8.26,8.86
Algeria,,,,,,0.0558,0.11,0.407,0.505,0.84,1.4,2.32,2.5,2.68,3.09,3.36,4.11,5.71,7.05,7.76,7.26,8.32
Ecuador,,,,0.0203,0.0495,0.0517,0.0855,0.194,0.327,0.699,1.07,1.63,1.47,4.32,5.45,6.74,8.27,9.18,9.76,10.6,11.4,12
Egypt,,,,,0.0713,0.0753,0.107,0.187,0.336,0.61,0.967,1.33,1.75,2.18,2.65,3.03,3.39,4.14,4.73,5.43,6.73,7.57
Eritrea,,,,,,,,,,,0.00144,0.00224,0.00372,0.00439,0.00569,0.00445,0.00604,0.015,0.0178,0.0293,,
Spain,,,0.187,1.13,2.98,4.98,7.85,11.4,15.1,17.7,19.8,21,22.7,23.7,24.5,26.1,27.8,29,30.3,31.4,32.5,33.4
Estonia,,,,1.26,3.36,6.58,10.2,13.2,18.3,19.7,22,23.5,26.1,26.3,26.4,27.4,28.2,29.7,31.5,32.5,33.3,32.5
Ethiopia,,,,,,,,,0.00033,0.00128,0.0018,0.0041,0.00469,0.00705,0.0092,0.25,0.48,0.474,0.54,0.0592,,
Finland,,,0.675,2.58,5.25,9.4,15.3,22.3,27.1,30.5,30.4,29.3,29.1,29.8,30.4,31.6,32.2,31.6,31.1,31,31.5,32.5
Fiji,,,,,,,,0.852,1.03,1.38,1.54,1.5,2.7,2.69,1.56,1.26,1.43,1.47,1.41,1.38,1.48,
France,0.023,0.0937,0.333,1.01,2.77,5.92,10.8,15.5,20.7,25.5,28.7,31.7,33.9,36,37.7,39,40.5,41.7,42.8,43.9,44.8,45.7
