country,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Sweden,,,2.8,6.6,9.42,12.2,15.7,27.9,27.4,30.3,31.4,31.6,31.9,32,32.2,32.7,33.9,35.8,37.4,38.9,39.5,40.2
Eswatini,,,,,,,,,,,0.0735,0.142,0.344,0.748,0.318,0.386,0.466,0.543,0.628,0.711,,
Seychelles,,,,,,,0.399,1.07,2.76,3.88,3.78,5.02,7.44,10.2,11.4,13.3,12.6,14.1,14.7,15.8,20.3,27.6
Syria,,,,,,,0.00337,0.0147,0.0274,0.035,0.0535,0.163,0.327,0.575,1.18,1.77,2.68,4.05,5.78,8.32,7.84,8.73
Chad,,,,,,,,,,,,0.00257,0.00277,0.128,0.152,0.111,0.0741,0.0803,0.0352,0.0022,0.00216,0.00043
Togo,,,,,,,,,,0.0203,0.0314,0.0667,0.424,0.516,0.613,0.0994,0.177,0.902,0.649,0.657,0.332,0.395
Thailand,,,,0.00254,,0.018,0.254,0.849,1.36,1.95,3.12,3.92,4.84,5.77,6.66,7.62,7.95,9.07,10.5,11.9,13.2,14.5
Tajikistan,,,,,,0.00015,,,,0.0516,0.0507,0.0597,0.0624,0.0652,0.0686,0.072,0.0739,0.071,0.0693,0.0676,,
Turkmenistan,,,,,,,,,,,0.00152,0.00929,0.0142,0.0213,0.0266,0.0335,0.0421,0.0539,0.0706,0.0868,,
Timor-Leste,,,,,,0.00095,0.00134,0.00221,0.00285,0.00482,0.00673,0.0438,0.0457,0.0494,0.053,0.0607,0.0875,0.0859,0.0543,0.0528,0.0476,0.0464
Tonga,,,,,0.0111,0.0221,0.333,0.639,0.622,0.76,0.697,0.963,1.06,1.26,1.46,1.67,1.78,2.44,2.97,2.94,2.44,3.54
Trinidad and Tobago,,,,,0.0138,0.0689,0.328,0.833,1.58,2.71,6.5,9.85,12.3,12.9,15,15.7,18.2,20.3,18.6,23.6,24.6,24.3
Tunisia,,,,,0.00026,0.0026,0.0283,0.174,0.43,0.931,2.18,3.54,4.53,5.21,4.86,4.75,5.13,5.13,5.66,7.01,8.77,10.2
Turkey,,,,0.017,0.0326,0.302,0.862,2.34,4.03,6.83,8.18,9.04,9.81,10.3,10.5,11.7,11.5,12.1,13.2,14.7,16.3,17.1
Tuvalu,,,,,,,0.507,1.5,2.47,2.64,2.81,0.959,2.28,4.23,4.19,4.14,4.1,4.05,4.01,3.96,,
Tanzania,,,,,,,,0.00673,0.00758,0.00834,0.0153,0.0161,0.017,0.0619,0.0878,0.116,0.169,0.206,0.6,1.4,1.53,1.79
Uganda,,,,,,,,0.00307,0.00423,0.00631,0.0158,0.0191,0.0432,0.106,0.111,0.116,0.15,0.211,0.232,,,
Ukraine,,,,,,,,0.277,1.12,1.72,3.46,4.15,6.45,6.96,8.04,8.86,9.31,11.6,12,12.4,12.8,16.2
Uruguay,,,,,,,0.813,1.46,3.21,4.95,7.32,9.48,11.4,14,17.2,21.7,24.7,26.4,26.9,27.7,28.3,29.2
United States,0.257,0.989,2.51,4.49,6.92,9.57,12.8,17.3,20.2,23.9,25.4,26.1,27.4,28.3,29.5,30.4,30.7,31.9,32.7,33.3,33.9,34.7
Uzbekistan,,,,,,0.0107,0.0211,0.0313,0.0322,0.0705,0.239,0.316,0.414,0.51,0.749,1.02,2.7,5.78,8.73,10.4,12.7,13.9
St. Vincent and the Grenadines,,,,0.0751,1,1.06,1.22,3.36,5.17,7.35,8.64,10.6,11.5,12.2,12.6,13.4,13.5,15.5,20,17.5,22.3,20.3
Venezuela,,,0.0185,0.149,0.311,0.458,0.809,1.35,2,3.15,4.04,5,5.88,6.29,6.94,7.5,7.99,8.61,8.76,8.87,9.02,8.98
British Virgin Islands,,,,,,,,,,,,28.4,24.7,25.8,26,21.4,22.1,22.8,21.2,16.9,15.8,
Virgin Islands (U.S.),,,,,,,1.37,2.75,,5.54,6.95,8.46,8.58,,,8.64,8.66,8.57,,,,
Vietnam,,,,,0.00132,0.0112,0.0635,0.251,0.61,1.52,2.38,3.69,4.17,4.32,5.32,5.68,6.54,8.26,9.72,11.9,13.6,15.3
Vanuatu,,,,,,0.00754,0.0113,0.0282,0.0443,0.0592,0.089,0.217,0.212,0.139,0.124,0.121,1.73,1.58,1.58,,,2.63
Samoa,,,,,,,0.0179,0.0362,0.0542,0.0714,0.0873,0.108,0.108,,0.573,0.649,1.05,1.08,1.11,0.866,,
Yemen,,,,,,,,0.00745,0.0134,0.0517,0.119,0.24,0.363,0.458,0.684,1.02,1.32,1.49,1.02,1.33,1.36,
South Africa,,,,,0.00578,0.0435,0.127,0.345,0.691,0.77,0.856,0.953,1.45,1.74,2.1,3.01,3.13,2.54,2.05,1.97,1.92,2.14
Zambia,,,0.0002,0.00029,0.00044,0.00081,0.00216,0.00211,0.0192,0.032,0.0444,0.081,0.0755,0.117,0.104,0.0901,0.133,0.147,0.194,0.213,0.416,0.498
Zimbabwe,,,,0.00647,0.0238,0.0533,0.0746,0.0843,0.0839,0.124,0.145,0.376,0.26,0.264,0.548,0.778,1.12,1.19,1.22,1.32,1.41,1.4
